tumorAntiAngiogenesis_6,16,8,17
crew1,121,110,135
model9,12,12,16
model8,134,136,140
model3,85,97,137
model2,97,94,53
model1,55,58,56
model7,9,9,9
model6,91,100,109
model5,1,1,1
model4,117,106,150
M80PI_n,8,6,10
nl,266,297,507
rajat14,14,10,24
rajat11,11,12,11
rajat12,26,19,24
rajat13,90,18,195
hangGlider_2,34,10,42
hangGlider_3,380,10,216
hangGlider_1,10,10,10
stoch_aircraft,9,7,11
Si2,523,700,770
can_229,38,38,38
football,64,63,67
mycielskian7,52,56,58
mycielskian6,25,26,28
dwt_878,34,36,35
mycielskian4,9,6,12
mycielskian3,2,2,2
mycielskian2,0,0,0
bips07_1998,36,32,29
mycielskian9,202,264,277
mycielskian8,102,124,132
testbig,9,8,11
lpl2,206,126,208
dwt_503,52,63,51
N_biocarta,0,0,0
str_200,21,41,26
lp_grow22,20,20,20
G17,415,418,445
g7jac020,364,451,448
ash85,14,14,14
cat_ears_3_4,1094,1137,1193
cat_ears_3_1,16,16,17
polblogs,197,235,297
n2c6-b9,0,0,0
bayer10,49,56,49
Kaufhold,42,46,56
n2c6-b1,13,12,13
n2c6-b3,285,276,317
n2c6-b2,61,59,87
n2c6-b5,1934,1488,1616
n2c6-b4,929,685,871
n2c6-b7,1372,1606,1433
bcsstm25,0,0,0
sit100,274,298,273
yeast,462,505,559
G53,510,526,605
G52,507,534,569
G51,520,542,596
lnsp_131,24,24,23
G57,0,0,0
G56,2275,2456,2478
G55,2275,2456,2478
G54,527,535,566
G59,2604,2676,2997
G58,2604,2676,2997
dano3mip,1420,1166,1481
airfoil1_dual,68,76,80
gre_216b,36,36,40
gre_216a,36,36,40
mahindas,115,114,142
Zewail,717,879,932
bwm2000,4,4,4
sts4098,102,171,120
dw256A,24,24,25
dw256B,34,34,34
lshp1009,62,66,66
sphere2,26,24,25
sphere3,50,48,53
dwt_992,64,72,73
freeFlyingRobot_8,39,14,64
145bit,489,516,514
mbeacxc,377,456,497
iiasa,14,14,15
df2177,448,523,494
rdb1250l,100,100,100
rdb200,40,40,40
gre_115,23,23,22
fpga_dcop_19,2,3,4
dwt_1007,38,38,43
dwt_1005,80,86,84
ex20,106,143,216
primagaz,7,7,7
mesh2e1,34,34,34
1138_bus,20,16,18
bp_1600,44,41,48
freeFlyingRobot_5,130,14,37
freeFlyingRobot_4,40,14,20
freeFlyingRobot_7,100,14,44
freeFlyingRobot_6,58,14,26
freeFlyingRobot_1,23,14,26
watt_2,128,128,128
freeFlyingRobot_3,36,14,14
freeFlyingRobot_2,14,14,34
lp_grow7,20,20,21
freeFlyingRobot_9,62,14,57
jagmesh5,21,20,23
Erdos972,230,252,274
Erdos971,105,103,100
descriptor_xingo6u,48,28,31
Cities,47,46,47
n4c5-b2,61,59,87
n4c5-b3,225,280,302
n4c5-b1,13,12,13
n4c5-b6,1646,1539,1667
n4c5-b7,1282,1439,1338
n4c5-b4,793,852,833
n4c5-b5,1393,1439,1480
n4c5-b8,594,664,705
n4c5-b9,142,155,166
extr1,15,16,16
nemsafm,12,6,4
lp_beaconfd,36,36,48
orsirr_2,100,100,100
cz148,21,23,22
orsirr_1,100,100,100
rkat7_mat5,237,297,431
refine,6,3,3
dwt_1242,48,56,56
L-9,222,227,222
mhd1280a,44,63,84
mhd1280b,16,20,20
Goodwin_017,168,192,276
Goodwin_013,120,175,200
Goodwin_010,88,158,117
ch8-8-b2,1306,1053,1566
ch8-8-b1,64,48,63
plskz362,22,20,22
ibm32,18,14,14
lshp_265,33,34,35
lp_agg,25,44,25
Chem97Zt,0,0,0
nopss_11k,36,48,40
lp_dfl001,541,587,876
