now there vol           : 200
now there vol           : 229
rdb1250l,100,100
rdb200,40,40
gre_115,23,23
fpga_dcop_19,2,2
dwt_1007,38,38
dwt_1005,80,80
ex20,106,106
primagaz,7,7
mesh2e1,34,34
1138_bus,20,20
bp_1600,44,44
freeFlyingRobot_5,130,130
freeFlyingRobot_4,40,40
freeFlyingRobot_7,100,100
freeFlyingRobot_6,58,58
freeFlyingRobot_1,23,23
watt_2,128,128
freeFlyingRobot_3,36,36
freeFlyingRobot_2,14,14
lp_grow7,20,20
freeFlyingRobot_9,62,62
jagmesh5,21,21
Erdos972,230,230
Erdos971,105,105
descriptor_xingo6u,48,48
Cities,47,47
n4c5-b2,61,61
n4c5-b3,225,225
n4c5-b1,13,13
n4c5-b6,1646,1646
n4c5-b7,1282,1282
n4c5-b4,793,793
n4c5-b5,1393,1393
n4c5-b8,594,594
n4c5-b9,142,142
extr1,15,15
nemsafm,12,12
lp_beaconfd,36,36
orsirr_2,100,100
cz148,21,21
orsirr_1,100,100
rkat7_mat5,237,237
refine,6,6
dwt_1242,48,48
L-9,222,222
mhd1280a,44,44
mhd1280b,16,16
Goodwin_017,168,168
Goodwin_013,120,120
Goodwin_010,88,88
ch8-8-b2,1306,1306
ch8-8-b1,64,64
plskz362,22,22
ibm32,18,18
lshp_265,33,33
lp_agg,25,25
Chem97Zt,0,0
nopss_11k,36,36
lp_dfl001,541,541
lpi_greenbea,82,82
162bit,1595,1595
rdb450,60,60
data,128,128
nsic,47,47
D_10,276,276
D_11,101,101
rajat27,22,22
se,4118,4118
M40PI_n,6,6
PGPgiantcompo,223,223
utm3060,205,205
lp_scagr7,6,6
Journals,125,125
can_24,15,15
fe_4elt2,132,132
lshp1270,74,74
lpi_pang,17,17
lp_wood1p,103,103
bayer08,69,69
bayer09,33,33
bayer06,69,69
bayer07,110,110
bayer04,106,106
bayer05,110,110
bayer02,28,28
bayer03,35,35
can_144,13,13
nasa1824,227,227
dwt_221,15,15
lp_maros,45,45
bips07_2476,47,47
car4,0,0
G40,1037,1037
G41,1030,1030
G42,1036,1036
G43,1001,1001
G44,1000,1000
G45,1000,1000
G46,1001,1001
G47,1000,1000
G48,0,0
G49,0,0
ch4-4-b3,0,0
EX4,2585,2585
filter2D,80,80
dwt_310,14,14
freeFlyingRobot_16,56,56
can_1072,62,62
spaceStation_1,42,42
spaceStation_3,74,74
spaceStation_2,162,162
spaceStation_5,93,93
spaceStation_4,119,119
spaceStation_7,74,74
spaceStation_6,92,92
spaceStation_9,20,20
spaceStation_8,56,56
mhd4800b,3,3
gre_343,46,46
lock_700,149,149
Maragal_3,225,225
Maragal_2,22,22
Maragal_1,15,15
lp_ship08l,10,10
Maragal_5,382,382
fome11,0,0
rosen7,8,8
rosen1,8,8
rosen2,8,8
lp_ship08s,11,11
cz628,20,20
cdde1,62,62
cdde3,62,62
cdde2,62,62
cdde5,62,62
cdde4,62,62
lp_standgub,30,30
cdde6,62,62
Trec10,99,99
utm1700b,115,115
NotreDame_yeast,89,89
lp_qap12,1320,1320
lp_qap15,2595,2595
karate,10,10
young1c,58,58
lp_tuff,44,44
stufe-10,72,72
ck104,0,0
shyy41,61,61
lp_qap8,384,384
mark3jac020,330,330
fpga_dcop_48,2,2
fpga_dcop_49,2,2
comsol,157,157
fpga_dcop_42,2,2
fpga_dcop_43,2,2
fpga_dcop_40,2,2
fpga_dcop_41,2,2
fpga_dcop_46,2,2
fpga_dcop_47,2,2
fpga_dcop_44,2,2
fpga_dcop_45,2,2
utm300,52,52
mimo46x46_system,32,32
lpi_chemcom,49,49
lshp3466,122,122
adder_dcop_16,82,82
oscil_dcop_47,2,2
bp_400,35,35
kneser_8_3_1,982,982
c-19,212,212
c-18,58,58
bcsstk03,0,0
lund_a,42,42
lund_b,41,41
dynamicSoaringProblem_3,46,46
dynamicSoaringProblem_2,52,52
dynamicSoaringProblem_1,28,28
dynamicSoaringProblem_7,28,28
dynamicSoaringProblem_6,52,52
dynamicSoaringProblem_5,79,79
dynamicSoaringProblem_4,22,22
dynamicSoaringProblem_8,28,28
Harvard500,16,16
tumorAntiAngiogenesis_8,20,20
jazz,123,123
str_600,24,24
gen,497,497
adder_dcop_26,82,82
tumorAntiAngiogenesis_1,16,16
pivtol,4,4
rel7,461,461
b_dyn,15,15
rel6,67,67
shl_200,12,12
olm100,2,2
rel4,9,9
dwt_419,32,32
shermanACd,195,195
shermanACa,165,165
orbitRaising_3,24,24
dwt_234,8,8
pde2961,94,94
CSphd,0,0
adder_trans_01,122,122
adder_trans_02,122,122
dwt_307,46,46
robot24c1_mat5_J,193,193
bibd_17_4b,136,136
rdist3a,46,46
poli,5,5
ash608,13,13
bfwa782,29,29
spaceShuttleEntry_4,62,62
young2c,58,58
spaceShuttleEntry_1,17,17
spaceShuttleEntry_3,40,40
spaceShuttleEntry_2,14,14
Franz1,64,64
D_8,708,708
Franz2,512,512
Franz5,1002,1002
Franz4,1072,1072
Franz7,471,471
Franz6,1579,1579
Franz9,1415,1415
hydr1c,26,26
D_6,250,250
D_7,586,586
D_5,56,56
GlossGT,8,8
SmaGri,132,132
cq9,269,269
cq5,155,155
coupled,282,282
eurqsa,385,385
GD06_Java,117,117
lpi_forest6,5,5
lp_greenbeb,102,102
lp_greenbea,102,102
lp_blend,14,14
nnc261,24,24
b2_ss,15,15
SciMet,316,316
lshp2614,106,106
lpi_itest6,0,0
fpga_dcop_51,2,2
fpga_dcop_50,2,2
lpi_itest2,4,4
lnsp_511,67,67
bp_1000,37,37
lp_stair,25,25
lpi_qual,31,31
EPA,194,194
nos1,4,4
nos2,4,4
nos3,80,80
nos4,15,15
nos5,108,108
nos6,30,30
nos7,124,124
lp_sc105,5,5
c-28,14,14
c-29,108,108
c-26,154,154
celegans_metabolic,70,70
c-24,76,76
c-25,274,274
c-22,150,150
c-23,56,56
c-20,134,134
c-21,116,116
lp_ken_07,25,25
sherman4,42,42
sherman5,131,131
sherman1,61,61
sherman2,311,311
sherman3,159,159
jendrec1,58,58
3elt_dual,88,88
rajat19,16,16
rdb200l,40,40
fv3,198,198
fv2,198,198
fv1,196,196
sctap1-2b,510,510
sctap1-2c,119,119
bibd_12_5,66,66
bibd_12_4,66,66
Lederberg,578,578
p2p-Gnutella30,4765,4765
p0548,11,11
mk9-b2,204,204
mk9-b3,300,300
mk9-b1,29,29
pcb3000,74,74
power,16,16
bips07_3078,48,48
TSOPF_RS_b9_c6,36,36
west0381,37,37
N_reactome,9,9
GL6_D_10,95,95
mycielskian5,14,14
bibd_14_7,91,91
lesmis,12,12
fpga_trans_01,8,8
fpga_trans_02,8,8
G62,0,0
G63,3610,3610
G60,3157,3157
G61,3157,3157
G66,0,0
G67,0,0
G64,3610,3610
G65,0,0
eris1176,128,128
Pd_rhs,0,0
lp_grow15,20,20
stormg2-27,144,144
can_1054,62,62
GD97_b,12,12
GD97_c,2,2
GD97_a,26,26
mhdb416,2,2
west0132,8,8
GD99_b,20,20
GD99_c,0,0
gams30a,2,2
Alemdar,168,168
air03,81,81
air02,44,44
air05,299,299
air04,545,545
air06,516,516
dwt_209,34,34
dwt_758,22,22
d_dyn,5,5
epb1,209,209
epb0,5,5
add32,14,14
Franz3,404,404
D_9,516,516
cr42,13,13
can_634,104,104
IG5-13,1092,1092
IG5-12,655,655
IG5-11,381,381
IG5-10,223,223
GD01_b,5,5
nemscem,9,9
lp_degen3,213,213
lp_degen2,92,92
ash292,19,19
west0989,17,17
young3c,52,52
ukerbe1,0,0
bfwb782,12,12
lp_share1b,7,7
tols340,18,18
fpga_dcop_20,2,2
fpga_dcop_21,2,2
fpga_dcop_22,2,2
fpga_dcop_23,2,2
fpga_dcop_24,2,2
fpga_dcop_25,2,2
fpga_dcop_26,2,2
fpga_dcop_27,2,2
fpga_dcop_28,2,2
fpga_dcop_29,2,2
ex12,76,76
Tina_AskCal,2,2
ex14,157,157
ex15,84,84
radfr1,20,20
lns_511,68,68
lp_israel,42,42
olm1000,2,2
ch5-5-b4,0,0
ch5-5-b3,172,172
ch5-5-b2,109,109
ch5-5-b1,21,21
gre_1107,113,113
photogrammetry2,96,96
wm3,56,56
wm2,56,56
wm1,56,56
large,36,36
oscil_dcop_54,2,2
oscil_dcop_55,2,2
small,34,34
oscil_dcop_56,2,2
GD01_c,11,11
c-38,108,108
GD01_a,23,23
