west1505,1505,1505,5445,14,75,DNF,DNF
de080285,936,1656,5082,36,7103,DNF,DNF
mbeause,448,490,41063,DNF,DNF,DNF,DNF
n3c6-b10,675,2511,7425,DNF,DNF,DNF,DNF
n4c6-b3,5970,1330,23880,DNF,DNF,DNF,DNF
n4c6-b2,1330,210,3990,DNF,DNF,DNF,DNF
n4c6-b1,210,21,420,15,2,15,36
lp_czprob,929,3562,10708,18,4,DNF,DNF
fe_sphere,16386,16386,98304,DNF,DNF,DNF,DNF
lp_modszk1,686,1620,3168,34,24476,DNF,DNF
cegb3306,3222,3222,74916,DNF,DNF,DNF,DNF
curtis54,54,54,291,7,1,7,1
p2p-Gnutella25,6221,22352,54705,DNF,DNF,CNO,CNO
powersim,15838,15838,67562,8,477,DNF,DNF
rdb2048,2048,2048,12032,DNF,DNF,DNF,DNF
ex10hs,2548,2548,57308,28,4174,DNF,DNF
mimo8x8_system,13309,13309,48872,DNF,DNF,CNO,CNO
M10PI_n,682,682,1633,4,1,DNF,DNF
n3c5-b2,120,45,360,25,281,DNF,DNF
lp_fit2p,3000,13525,50284,21,162,DNF,DNF
plddb,3069,5049,10839,8,15,DNF,DNF
qc324,324,324,26730,DNF,DNF,DNF,DNF
can_838,838,838,10010,DNF,DNF,DNF,DNF
rajat07,14842,14842,63913,DNF,DNF,DNF,DNF
rajat06,10922,10922,46983,DNF,DNF,DNF,DNF
rajat05,301,301,1384,6,1,DNF,DNF
rajat04,1041,1041,9642,24,464,DNF,DNF
rajat03,7602,7602,32653,DNF,DNF,DNF,DNF
rajat02,1960,1960,11187,14,6,DNF,DNF
rajat01,6833,6833,43250,18,576,DNF,DNF
rajat08,19362,19362,83443,DNF,DNF,DNF,DNF
rw496,496,496,1859,DNF,DNF,DNF,DNF
lp_d6cube,404,6184,37704,DNF,DNF,DNF,DNF
dwt_869,869,869,7285,DNF,DNF,DNF,DNF
flower_7_1,463,393,1178,24,9212,DNF,DNF
adder_dcop_69,1813,1813,11246,18,13,DNF,DNF
adder_dcop_68,1813,1813,11246,18,13,DNF,DNF
adder_dcop_67,1813,1813,11246,18,11,DNF,DNF
adder_dcop_66,1813,1813,11246,18,11,DNF,DNF
adder_dcop_65,1813,1813,11246,18,11,DNF,DNF
adder_dcop_64,1813,1813,11246,18,13,DNF,DNF
ww_vref_6405,13251,13251,48737,DNF,DNF,DNF,DNF
adder_dcop_62,1813,1813,11246,18,12,DNF,DNF
adder_dcop_61,1813,1813,11246,18,12,DNF,DNF
adder_dcop_60,1813,1813,11246,18,12,DNF,DNF
complex,1023,1408,46463,DNF,DNF,DNF,DNF
M20PI_n1,1027,1027,2547,4,1,DNF,DNF
176bit,7441,7150,82270,DNF,DNF,DNF,DNF
Chebyshev1,261,261,2319,4,1,DNF,DNF
Chebyshev3,4101,4101,36879,4,22,DNF,DNF
Chebyshev2,2053,2053,18447,4,4,DNF,DNF
Trefethen_20,20,20,158,17,1,17,1
S80PI_n,4182,4182,10261,6,16,DNF,DNF
g7jac010,2880,2880,19635,DNF,DNF,DNF,DNF
dwg961b,961,961,10591,DNF,DNF,DNF,DNF
dwg961a,705,705,3405,DNF,DNF,DNF,DNF
lp_truss,1000,8806,27836,DNF,DNF,DNF,DNF
t3dl_e,20360,20360,20360,0,93,0,1
lpi_klein3,994,1082,13101,56,17,DNF,DNF
lpi_klein2,477,531,5062,35,1,DNF,DNF
lpi_klein1,54,108,750,33,82,33,519
Trefethen_200,200,200,2890,DNF,DNF,DNF,DNF
dw2048,2048,2048,10114,DNF,DNF,DNF,DNF
dwt_245,245,245,1461,8,1,DNF,DNF
ca-HepTh,9877,9877,51971,DNF,DNF,DNF,DNF
can_161,161,161,1377,32,4143,DNF,DNF
p0040,23,63,133,3,0,3,4
lp_d2q06c,2171,5831,33081,DNF,DNF,DNF,DNF
saylr4,3564,3564,22316,DNF,DNF,DNF,DNF
lp_pilot87,2030,6680,74949,DNF,DNF,DNF,DNF
deter8,3831,10905,22299,15,138,DNF,DNF
n2c6-b10,30,306,330,0,0,0,1
bips07_1693,13275,13275,49044,DNF,DNF,DNF,DNF
bfwb62,62,62,342,8,1,8,113
oscil_dcop_10,430,430,1544,2,1,DNF,DNF
oscil_dcop_11,430,430,1544,2,1,DNF,DNF
oscil_dcop_12,430,430,1544,2,1,DNF,DNF
oscil_dcop_13,430,430,1544,2,1,DNF,DNF
oscil_dcop_14,430,430,1544,2,1,DNF,DNF
oscil_dcop_15,430,430,1544,2,1,DNF,DNF
Trec11,235,1136,35705,DNF,DNF,DNF,DNF
oscil_dcop_17,430,430,1544,2,1,DNF,DNF
ch7-9-b1,1512,63,3024,DNF,DNF,DNF,DNF
freeFlyingRobot_14,5958,5958,43298,14,547,CNO,CNO
deter2,6095,17313,35731,15,252,DNF,DNF
deter3,7647,21777,44547,15,698,DNF,DNF
deter4,3235,9133,19231,15,84,DNF,DNF
freeFlyingRobot_10,5218,5218,40080,14,577,CNO,CNO
deter6,4255,12113,24771,15,105,DNF,DNF
freeFlyingRobot_12,5578,5578,41940,14,3691,CNO,CNO
freeFlyingRobot_15,6038,6038,43378,14,1506,CNO,CNO
Hamrle1,32,32,98,5,0,5,1
Hamrle2,5952,5952,22162,16,36965,DNF,DNF
oscil_dcop_19,430,430,1544,2,1,DNF,DNF
ch7-9-b2,17640,1512,52920,DNF,DNF,DNF,DNF
Oregon-2,11461,11461,65460,DNF,DNF,DNF,DNF
Oregon-1,11174,11174,46818,DNF,DNF,DNF,DNF
freeFlyingRobot_11,5438,5438,40054,14,343,CNO,CNO
deter5,5103,14529,29715,15,237,DNF,DNF
freeFlyingRobot_13,5718,5718,43994,DNF,DNF,CNO,CNO
deter7,6375,18153,37131,15,324,DNF,DNF
flower_5_1,211,201,602,24,10067,DNF,DNF
flower_5_4,5226,14721,43942,DNF,DNF,DNF,DNF
jan99jac020,6774,6774,38692,DNF,DNF,DNF,DNF
Ragusa18,21,18,64,5,0,5,1
jagmesh9,1349,1349,9101,DNF,DNF,DNF,DNF
jagmesh8,1141,1141,7465,DNF,DNF,DNF,DNF
jagmesh7,1138,1138,7450,DNF,DNF,DNF,DNF
jagmesh6,1377,1377,8993,DNF,DNF,DNF,DNF
Ragusa16,19,20,81,7,0,7,1
jagmesh4,1440,1440,9504,DNF,DNF,DNF,DNF
jagmesh3,1089,1089,7361,DNF,DNF,DNF,DNF
jagmesh2,1009,1009,6865,DNF,DNF,DNF,DNF
jagmesh1,936,936,6264,DNF,DNF,DNF,DNF
lp_ship04l,360,2166,6380,4,1,DNF,DNF
whitaker3,9800,9800,57978,DNF,DNF,DNF,DNF
bp_200,822,822,3802,26,13364,DNF,DNF
mk10-b1,630,45,1260,DNF,DNF,DNF,DNF
mk10-b3,4725,3150,18900,DNF,DNF,DNF,DNF
mk10-b2,3150,630,9450,DNF,DNF,DNF,DNF
wang2,2903,2903,19093,DNF,DNF,DNF,DNF
mk10-b4,945,4725,4725,0,3,0,1
wang1,2903,2903,19093,DNF,DNF,DNF,DNF
rw136,136,136,479,19,1363,DNF,DNF
lp_ship04s,360,1506,4400,4,1,DNF,DNF
biplane-9,21701,21701,84076,DNF,DNF,DNF,DNF
adjnoun,112,112,850,DNF,DNF,DNF,DNF
Kohonen,1818,3518,12731,DNF,DNF,DNF,DNF
adder_dcop_45,1813,1813,11246,18,12,DNF,DNF
can_62,62,62,218,6,0,6,1
pesa,11738,11738,79566,DNF,DNF,DNF,DNF
rel3,6,3,18,3,0,3,1
tumorAntiAngiogenesis_3,410,410,3952,12,24,CNO,CNO
tumorAntiAngiogenesis_2,305,305,2699,8,1,CNO,CNO
tumorAntiAngiogenesis_5,460,460,4690,12,701,CNO,CNO
tumorAntiAngiogenesis_4,455,455,4593,12,283,CNO,CNO
rel5,172,33,656,10,1,10,4
tumorAntiAngiogenesis_6,465,465,4795,8,1,CNO,CNO
crew1,135,6469,46950,DNF,DNF,DNF,DNF
model9,2787,10939,55956,12,489,DNF,DNF
model8,2896,6464,25277,DNF,DNF,DNF,DNF
model3,1609,4565,23974,DNF,DNF,DNF,DNF
model2,379,1321,7607,53,2078,DNF,DNF
model1,362,798,3028,46,43785,DNF,DNF
model7,3358,9560,51027,9,150,DNF,DNF
model6,2094,5289,27628,DNF,DNF,DNF,DNF
model5,1744,11802,89925,1,75,DNF,DNF
model4,1337,4962,45753,DNF,DNF,DNF,DNF
M80PI_n,4182,4182,10261,6,13,DNF,DNF
nl,7039,15325,47035,DNF,DNF,DNF,DNF
rajat14,180,180,1503,10,1,DNF,DNF
rajat11,135,135,812,8,1,DNF,DNF
rajat12,1879,1879,12926,14,7,DNF,DNF
rajat13,7598,7598,48922,18,93,DNF,DNF
hangGlider_2,1647,1647,14754,10,9,DNF,DNF
hangGlider_3,10260,10260,92703,DNF,DNF,DNF,DNF
hangGlider_1,360,360,3477,10,1,DNF,DNF
stoch_aircraft,3754,7517,20267,6,16,CNO,CNO
Si2,769,769,17801,DNF,DNF,DNF,DNF
can_229,229,229,1777,38,76406,DNF,DNF
football,115,115,1226,DNF,DNF,DNF,DNF
mycielskian7,95,95,1510,48,187,48,971
mycielskian6,47,47,472,24,1,24,1
dwt_878,878,878,7448,DNF,DNF,DNF,DNF
mycielskian4,11,11,40,6,0,6,1
mycielskian3,5,5,10,2,0,2,1
mycielskian2,2,2,2,0,0,0,1
bips07_1998,15066,15066,62198,DNF,DNF,DNF,DNF
mycielskian9,383,383,14542,DNF,DNF,DNF,DNF
mycielskian8,191,191,4720,DNF,DNF,DNF,DNF
testbig,17613,31223,61639,8,432,DNF,DNF
lpl2,3294,10881,32232,DNF,DNF,DNF,DNF
dwt_503,503,503,6027,DNF,DNF,DNF,DNF
N_biocarta,1498,1996,4335,0,2,DNF,DNF
str_200,363,363,3068,DNF,DNF,DNF,DNF
lp_grow22,440,946,8252,20,30335,DNF,DNF
G17,800,800,9334,DNF,DNF,DNF,DNF
g7jac020,5850,5850,45465,DNF,DNF,DNF,DNF
ash85,85,85,523,14,1,14,4430
cat_ears_3_4,5226,13271,39592,DNF,DNF,DNF,DNF
cat_ears_3_1,204,181,542,16,13,DNF,DNF
polblogs,1065,990,19025,DNF,DNF,DNF,DNF
n2c6-b9,306,1410,3060,0,1,DNF,DNF
bayer10,13436,13436,94926,DNF,DNF,DNF,DNF
Kaufhold,8765,8765,42471,DNF,DNF,DNF,DNF
n2c6-b1,105,15,210,11,1,11,1
n2c6-b3,1365,455,5460,DNF,DNF,DNF,DNF
n2c6-b2,455,105,1365,DNF,DNF,DNF,DNF
n2c6-b5,4945,3003,29670,DNF,DNF,DNF,DNF
n2c6-b4,3003,1365,15015,DNF,DNF,DNF,DNF
n2c6-b7,3990,5715,31920,DNF,DNF,DNF,DNF
bcsstm25,15439,15439,15439,0,69,0,1
sit100,10262,10262,61046,DNF,DNF,DNF,DNF
yeast,2361,2361,13828,DNF,DNF,DNF,DNF
G53,1000,1000,11828,DNF,DNF,DNF,DNF
G52,1000,1000,11832,DNF,DNF,DNF,DNF
G51,1000,1000,11818,DNF,DNF,DNF,DNF
lnsp_131,131,131,536,22,108,22,74264
G57,5000,5000,20000,0,31,0,1
G56,4969,4969,24996,DNF,DNF,DNF,DNF
G55,4969,4969,24996,DNF,DNF,DNF,DNF
G54,1000,1000,11832,DNF,DNF,DNF,DNF
G59,5000,5000,59140,DNF,DNF,DNF,DNF
G58,5000,5000,59140,DNF,DNF,DNF,DNF
dano3mip,3202,15851,81633,DNF,DNF,DNF,DNF
airfoil1_dual,8034,8034,23626,DNF,DNF,DNF,DNF
gre_216b,216,216,876,DNF,DNF,DNF,DNF
gre_216a,216,216,876,DNF,DNF,DNF,DNF
mahindas,1258,1258,7682,DNF,DNF,DNF,DNF
Zewail,4581,6592,54233,DNF,DNF,DNF,DNF
bwm2000,2000,2000,7996,4,7,DNF,DNF
sts4098,4098,4098,72356,DNF,DNF,DNF,DNF
dw256A,512,512,2480,DNF,DNF,DNF,DNF
dw256B,512,512,2500,DNF,DNF,DNF,DNF
lshp1009,1009,1009,6865,DNF,DNF,DNF,DNF
sphere2,66,66,450,24,291,DNF,DNF
sphere3,258,258,1794,DNF,DNF,DNF,DNF
dwt_992,992,992,16744,DNF,DNF,DNF,DNF
freeFlyingRobot_8,4398,4398,34958,14,51,CNO,CNO
145bit,1002,966,11315,DNF,DNF,DNF,DNF
mbeacxc,448,485,49920,DNF,DNF,DNF,DNF
iiasa,669,3639,7317,14,76561,DNF,DNF
df2177,630,10358,22336,DNF,DNF,DNF,DNF
