matrix,vol_mfg,vol_mmg,vol_mfgir,vol_pfg,vol_pmg,vol_pfgir,time_mfg,time_mmg,time_mfgir,time_pfg,time_pmg,time_pfgir
ca-GrQc,308,333,292,307,318,290,0.073572,0.064531,0.086373,0.033965,0.031884,0.046985
oscil_dcop_38,2,2,2,2,2,2,0.00428,0.004846,0.004489,0.002605,0.002569,0.002764
oscil_dcop_39,2,2,2,2,2,2,0.004248,0.004827,0.005323,0.002448,0.002543,0.002714
west0156,5,5,5,5,5,5,0.002658,0.001863,0.002678,0.001306,0.001551,0.001409
lp_afiro,5,9,5,5,5,5,0.001213,0.000822,0.001287,0.001484,0.000912,0.000927
oscil_dcop_32,2,2,2,2,2,2,0.004291,0.004855,0.004666,0.002448,0.002573,0.002766
oscil_dcop_33,2,2,2,2,2,2,0.004258,0.004811,0.004541,0.002831,0.002614,0.002686
oscil_dcop_30,2,2,2,2,2,2,0.004254,0.004758,0.004415,0.002529,0.002487,0.002795
oscil_dcop_31,2,2,2,2,2,2,0.004316,0.004875,0.004553,0.002632,0.002565,0.00277
oscil_dcop_36,2,2,2,2,2,2,0.004235,0.004836,0.004596,0.002986,0.002592,0.003344
oscil_dcop_37,2,2,2,2,2,2,0.004316,0.00485,0.004402,0.002754,0.002602,0.002796
oscil_dcop_34,2,2,2,2,2,2,0.004222,0.004824,0.004433,0.002432,0.003018,0.002823
oscil_dcop_35,2,2,2,2,2,2,0.004284,0.004859,0.004551,0.002606,0.002833,0.003397
Trefethen_20b,20,19,18,18,18,18,0.026015,0.000608,0.001535,0.000804,0.000745,0.000857
poli3,134,121,133,122,112,122,0.063171,0.057008,0.079278,0.036624,0.047596,0.05039
p0033,5,8,5,5,5,5,0.00156,0.000667,0.001297,0.00093,0.000837,0.000886
poli4,187,171,187,149,166,149,0.101845,0.102564,0.122097,0.074966,0.075571,0.091348
zed,11,11,11,11,10,11,0.003199,0.002621,0.003216,0.001344,0.001239,0.001333
dwt_87,12,12,12,12,12,12,0.00291,0.003251,0.003076,0.001391,0.001373,0.001566
dwt_512,0,0,0,0,0,0,0.000846,0.000838,0.000839,0.000954,0.000854,0.000933
rosen8,14,8,8,8,8,8,0.11176,0.028689,0.114398,0.070773,0.024521,0.073755
iprob,2,2,2,2,2,2,0.045474,0.143684,0.047068,0.006711,0.007597,0.010595
n3c6-b3,317,285,313,276,277,276,0.01448,0.010853,0.016237,0.006027,0.005952,0.006842
Maragal_4,509,334,371,355,326,323,0.139803,0.053067,0.153584,0.079467,0.038044,0.085196
